experiment,dim,method,zone,seed_run,rel_error,mae,n_points,train_time_s
extrapolation,3,ICPINN,near,2,0.03129867270365072,0.26813439884499307,200,14.979645013809204
extrapolation,3,ICPINN,far,2,0.004943227347089707,0.11743512187907074,200,14.979645013809204
extrapolation,3,VanillaNN,interior,3,0.01625865031309466,0.10772229912537831,200,2.475707530975342
extrapolation,3,VanillaNN,near,3,0.03234736958736742,0.277118540477721,200,2.475707530975342
extrapolation,3,VanillaNN,far,3,0.6148652832257986,14.607213952508632,200,2.475707530975342
extrapolation,3,PINN,interior,3,0.023046099464229416,0.15269279874722944,200,14.13205361366272
extrapolation,3,PINN,near,3,0.029367527749004356,0.2515903620930369,200,14.13205361366272
extrapolation,3,PINN,far,3,0.05660975873726337,1.3448650952235213,200,14.13205361366272
extrapolation,3,ICPINN,interior,3,0.05324788486243101,0.35279586377011596,200,14.424708843231201
extrapolation,3,ICPINN,near,3,0.02999094538286244,0.25693115446677894,200,14.424708843231201
extrapolation,3,ICPINN,far,3,0.004695267896423317,0.1115444059023478,200,14.424708843231201
extrapolation,3,VanillaNN,interior,4,0.012611386144756627,0.08355721320711176,200,2.358570098876953
extrapolation,3,VanillaNN,near,4,0.038284118978310605,0.3279784201955039,200,2.358570098876953
extrapolation,3,VanillaNN,far,4,0.6287751733826519,14.937668032646434,200,2.358570098876953
extrapolation,3,PINN,interior,4,0.03882125688481191,0.25721169752945366,200,14.21311068534851
extrapolation,3,PINN,near,4,0.027046176475359576,0.23170344439015936,200,14.21311068534851
extrapolation,3,PINN,far,4,0.03415130891030571,0.8113248375219356,200,14.21311068534851
extrapolation,3,ICPINN,interior,4,0.045121147122863275,0.298951857235936,200,15.787983655929565
extrapolation,3,ICPINN,near,4,0.022604665780603512,0.1936532110343176,200,15.787983655929565
extrapolation,3,ICPINN,far,4,0.004134089165249361,0.098212611092191,200,15.787983655929565
